"Date","Treasury","USBondAAA","SP500","CHNUS","VixIndex","EMBond","EURUS","USBondHY","OilWTI","VixOil","DJIA","NASDAQ","EMBondBB","MarketCap","Vixgold","SP500Dir","USBondAAADir"
"2009-03-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2009-03-24",0,0.00381943615573743,-0.0204151071793126,-0.000599985366210612,-0.00693962526023588,0.00287308691087895,-0.00331638293168247,0.00431275278764722,0.00584354382657874,-0.0843119542306534,-0.0149038177127674,-0.0252286649054809,0.00681590795397701,-0.0216698534098152,0.219086021505376,0,1
"2009-03-25",0.0485074626865671,-0.0030914841501986,0.00962635835855703,0.00014642574750349,-0.0158397391101794,0.00457275081262747,0.00110913930789711,0.00451673193307233,-0.0209895052473763,0.00230187438342651,0.0117285054641206,0.0081963970142168,0.0118626172287435,0.0107491856677525,0,1,0
"2009-03-26",-0.0177935943060499,0.00434149948713054,0.0233203912124638,0.000234246896228599,-0.0447337278106509,0.00312602829878246,0.0015510746731664,0.00965734157308339,0.0312021439509953,-0.0308398950131234,0.0225489399094946,0.037967232414402,0.00362140928062855,0.0270705768611022,-0.0300441014332967,1,1
"2009-03-27",0.00724637681159421,0.000403771702729059,-0.0203155392262805,-0.000146370023419123,0.0168483647175421,0.00382701875239198,-0.018731563421829,0.00449729065660446,-0.0271022832745499,0.00338524035206504,-0.018724067960871,-0.026339004410838,0.00403645037000793,-0.022278004392846,-0.05512929809605,0,1
"2009-03-30",-0.0179856115107913,-2.37416904083355e-05,-0.0348187366718142,0.000731957253696368,0.109649122807018,0.00141604487772992,-0.0120246505335939,-0.00275181270201798,-0.0747948864720472,0.0848515519568151,-0.0326844286011898,-0.0280869790318406,-0.000791862094170649,-0.0343388960205392,0.0111278195488721,0,0
"2009-03-31",-0.00732600732600733,-0.00149576200764499,0.0131296585526901,-0.000453481568168502,-0.0307422046552481,0.00184913253929408,0.00874790810893052,0.000153300337260727,0.0237162301505465,0.213030632872026,0.0115527477991284,0.0178385936875749,0.0051207022677396,0.0139581256231307,-0.0663295657346817,1,0
"2009-04-01",-0.0110701107011069,0.00430378542895188,0.0165565818993069,0.000146350744193453,-0.0421386497507929,0.00184571955919876,-0.00286554558479755,-0.00192690884407365,-0.023771152296535,-0.166004358415588,0.0200659226276528,0.0150530881400506,0.00145560407569147,0.0160603080957063,0.0299458426250397,1,1
"2009-04-02",0.0335820895522388,-0.00651087908705637,0.0287271292597524,1.46329328787028e-05,-0.00567644276253552,-5.41858574912995e-05,0.0177720638281782,0.00938987736118113,0.0856376392901362,-0.0321241930525669,0.027891156462585,0.0328886310904874,0.00333091085271307,0.0312903225806451,0.0637179090627901,1,0
"2009-04-03",0.0505415162454874,-0.010056717982937,0.00973177688822839,4.3898156277464e-05,-0.055661274976213,-0.000975398287634,-0.00081735770545408,0.00475993827294659,-0.00171070138756883,-0.0176274416388756,0.00495231935503282,0.0120052663434478,0.00398382326311357,0.0115733500156398,0.0590287874382088,1,0
"2009-04-06",0.013745704467354,-0.00113143957631192,-0.00833234421364983,0,0.0309823677581863,0.00645476242134952,-0.00624674648620507,0.00432638227913818,-0.0270373191165271,-0.0523763336566441,-0.00520605319054726,-0.00934723498184186,0.0110022244934767,-0.00927643784786655,-0.0952773201537616,0,0
"2009-04-07",-0.00677966101694916,0.000698913069674452,-0.023854550677455,0.000263377375883448,-0.013193256779868,0.00404203718674212,-0.00606151313327845,0.00202464030326539,-0.0385518590998043,-0.000682360968952561,-0.0233567582138581,-0.0280697823502686,0.00422216936251194,-0.0252808988764045,-0.0267071320182095,0,1
"2009-04-08",-0.0238907849829352,0.00628582438225509,0.0117834590153884,-0.000160910460642779,-0.0381282495667244,0.00300590445517983,0.000451739195904182,0.0044065173466316,0.00488499898229177,-0.0297029702970296,0.00610432424937985,0.0186025960387038,0.00408598330076389,0.0131284021773935,-0.0514499532273152,1,1
"2009-04-09",0.034965034965035,-0.00320704592776961,0.0380532260410102,-0.000146305779078322,-0.0597168597168597,0.00262228406293471,-0.0104605659241421,0.00603505467930745,0.0581324691107961,-0.0328993666432091,0.0314235732304383,0.0389020909559553,0.00949516395376259,0.0401390644753475,-0.0795529257067719,1,0
"2009-04-13",-0.0270270270270271,0.0067228504886072,0.00253338937143933,0.000102429031314039,0.0350396934026828,0.00341606618628244,0.0155905392045022,0.00638175668489013,-0.0386676875957122,0.0523922139348736,-0.003163280706833,0.000465949387004237,0.00111000759478896,0.00273473108477677,0.0389285714285714,1,1
"2009-04-14",-0.0277777777777778,0.00424527176894267,-0.0200645138751412,-0.000395042942630975,-0.00370272414705106,0.00542582052236811,-0.00576606260296527,0.00908917964869266,-0.0141377937076862,0.171477960242005,-0.0170803233136547,-0.0166877355123963,0.00659430438842201,-0.0209090909090908,-0.00721897559298731,0,1
"2009-04-15",0.00714285714285715,0.00071247061058734,0.0125490196078431,1.46370023418863e-05,-0.0398194850013273,0.00428548754034179,-0.00715523085034275,0.00465028592974303,-0.00504948495253484,-0.180020658108307,0.0138178677757323,0.000664321039293315,0.00202910313641367,0.0123800680903745,-0.0488227146814404,1,1
"2009-04-16",0.0141843971631206,-0.00351235256425474,0.0155388118207638,-7.31839405160526e-05,-0.0105059441526127,0.00368770414076503,0.00113791533909881,0.00817330747899326,0.0144133170929761,0.258772719093036,0.0119320715052519,0.026825670027047,0.011282110622541,0.017120146744115,-0.00182016745540579,1,0
